"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2022","267,795,008","259,810,000","268,000,000","259,508,992","0.04K","3.07%"
"11/29/2022","259,810,000","257,770,000","262,000,000","256,828,000","0.03K","0.79%"
"11/28/2022","257,770,000","260,172,992","260,995,008","256,000,000","0.03K","-0.92%"
"11/27/2022","260,172,992","260,227,008","262,195,008","260,000,992","0.01K","-0.02%"
"11/26/2022","260,227,008","260,500,000","262,000,000","259,627,008","0.01K","-0.10%"
"11/25/2022","260,499,008","260,000,000","260,515,008","257,159,008","0.02K","0.19%"
"11/24/2022","260,000,000","260,088,000","262,000,000","258,500,000","0.03K","-0.03%"
"11/23/2022","260,088,000","256,000,000","261,260,992","255,999,008","0.03K","1.60%"
"11/22/2022","256,000,000","250,780,000","259,174,000","249,344,992","0.05K","2.08%"
"11/21/2022","250,780,000","257,180,992","257,326,000","248,811,008","0.05K","-2.49%"
"11/20/2022","257,180,992","262,132,992","262,464,000","256,855,008","0.03K","-1.89%"
"11/19/2022","262,132,992","261,468,992","262,140,000","260,840,000","0.02K","0.37%"
"11/18/2022","261,164,000","263,999,008","264,406,000","260,012,000","0.02K","-0.28%"
"11/17/2022","261,890,000","261,726,000","262,623,008","258,800,992","0.02K","0.78%"
"11/16/2022","259,867,008","262,999,008","266,740,992","258,499,008","0.05K","-1.19%"
"11/15/2022","262,999,008","260,231,008","266,866,000","258,832,992","0.04K","1.06%"
"11/14/2022","260,231,008","256,664,000","266,948,992","249,999,008","0.07K","1.39%"
"11/13/2022","256,664,000","263,150,000","264,483,008","256,664,000","0.04K","-2.46%"
"11/12/2022","263,150,000","266,270,000","266,730,000","261,868,992","0.05K","-1.17%"
"11/11/2022","266,270,000","276,951,008","278,875,008","261,179,008","0.08K","-3.86%"
"11/10/2022","276,951,008","251,988,992","284,168,000","251,988,000","0.13K","9.91%"
"11/09/2022","251,988,992","297,009,984","299,000,000","251,571,008","0.16K","-15.16%"
"11/08/2022","297,009,984","323,534,016","325,364,992","285,368,992","0.13K","-8.20%"
"11/07/2022","323,534,016","327,204,992","329,420,992","322,559,008","0.03K","-1.12%"
"11/06/2022","327,204,992","331,456,000","331,584,992","326,820,000","0.03K","-1.28%"
"11/05/2022","331,456,000","329,212,992","334,484,000","329,212,000","0.03K","0.68%"
"11/04/2022","329,212,992","316,737,984","330,000,000","316,424,992","0.07K","3.94%"
"11/03/2022","316,737,984","315,782,016","318,985,984","315,000,000","0.02K","0.30%"
"11/02/2022","315,780,992","320,231,008","322,515,008","314,772,992","0.04K","-1.43%"
"11/01/2022","320,368,000","319,200,000","321,500,000","318,500,000","0.03K","0.37%"
"10/31/2022","319,200,000","319,998,016","323,480,000","316,801,984","0.06K","-0.25%"
"10/30/2022","319,998,016","322,447,008","324,463,008","318,873,984","0.03K","-0.76%"
"10/29/2022","322,447,008","320,532,000","325,150,016","320,128,992","0.04K","0.60%"
"10/28/2022","320,532,000","315,068,992","321,604,000","311,907,008","0.04K","1.73%"
"10/27/2022","315,068,992","322,201,984","323,499,008","314,544,992","0.04K","-2.21%"
"10/26/2022","322,201,984","311,508,000","325,000,000","311,508,000","0.06K","3.43%"
"10/25/2022","311,508,000","300,676,000","315,000,000","300,000,000","0.07K","3.60%"
"10/24/2022","300,676,000","304,278,016","304,337,984","299,392,000","0.02K","-1.18%"
"10/23/2022","304,278,016","298,081,984","304,499,008","297,232,000","0.04K","2.08%"
"10/22/2022","298,081,984","298,403,008","299,191,008","297,432,992","0.02K","-0.11%"
"10/21/2022","298,403,008","296,049,984","298,800,000","293,504,992","0.02K","0.79%"
"10/20/2022","296,049,984","297,500,000","299,000,000","295,272,992","0.03K","-0.49%"
"10/19/2022","297,500,000","298,588,000","298,588,000","297,000,000","0.02K","-0.36%"
"10/18/2022","298,588,000","301,198,016","302,700,000","296,000,992","0.03K","-0.87%"
"10/17/2022","301,198,016","297,313,984","302,000,000","296,800,000","0.03K","1.31%"
"10/16/2022","297,313,984","295,203,008","298,329,984","295,193,984","0.01K","0.72%"
"10/15/2022","295,203,008","295,980,000","301,222,016","294,572,000","0.01K","-0.26%"
"10/14/2022","295,980,000","297,768,000","304,000,000","295,318,016","0.05K","-0.60%"
"10/13/2022","297,768,000","293,639,008","298,336,992","282,123,008","0.05K","1.40%"
"10/12/2022","293,652,992","292,891,008","294,439,008","292,784,000","0.02K","0.26%"
"10/11/2022","292,891,008","293,977,984","295,703,008","291,200,000","0.03K","-0.37%"
"10/10/2022","293,979,008","297,100,000","298,332,992","293,617,984","0.02K","-1.04%"
"10/09/2022","297,068,992","296,544,000","299,000,000","296,508,992","0.01K","0.18%"
"10/08/2022","296,544,000","298,380,992","299,156,992","295,168,992","0.01K","-0.62%"
"10/07/2022","298,380,992","302,888,992","305,924,000","295,828,992","0.03K","-1.49%"
"10/06/2022","302,888,992","304,748,000","308,432,000","301,840,000","0.03K","-0.61%"
"10/05/2022","304,748,000","307,619,008","307,620,000","301,161,984","0.04K","-0.93%"
"10/04/2022","307,619,008","299,982,016","308,800,000","298,462,016","0.04K","2.55%"
"10/03/2022","299,982,016","291,511,008","300,000,000","291,511,008","0.03K","2.91%"
"10/02/2022","291,511,008","294,371,008","296,000,992","291,000,000","0.02K","-0.97%"
"10/01/2022","294,371,008","296,055,008","297,222,016","293,700,992","0.02K","-0.57%"
"09/30/2022","296,055,008","297,329,984","305,619,008","292,419,008","0.04K","-0.43%"
"09/29/2022","297,329,984","294,647,008","298,120,992","288,256,992","0.03K","0.91%"
"09/28/2022","294,647,008","290,103,008","299,200,000","283,550,016","0.06K","1.57%"
"09/27/2022","290,103,008","290,907,008","307,000,000","286,518,016","0.06K","-0.28%"
"09/26/2022","290,907,008","283,096,000","291,392,992","282,520,000","0.03K","2.76%"
"09/25/2022","283,096,000","285,348,000","287,916,000","282,871,008","0.02K","-0.79%"
"09/24/2022","285,348,000","290,271,008","290,596,000","284,816,992","0.02K","-1.70%"
"09/23/2022","290,271,008","292,460,000","293,000,000","280,059,008","0.04K","-0.75%"
"09/22/2022","292,460,000","280,062,016","292,500,000","278,142,016","0.04K","4.43%"
"09/21/2022","280,062,016","284,900,992","295,345,984","277,332,992","0.05K","-1.70%"
"09/20/2022","284,900,992","293,548,000","294,335,008","283,537,984","0.04K","-2.95%"
"09/19/2022","293,548,000","293,280,000","294,999,008","277,332,992","0.08K","0.09%"
"09/18/2022","293,280,000","301,579,008","301,740,000","293,000,000","0.02K","-2.75%"
"09/17/2022","301,579,008","295,459,008","302,000,000","295,459,008","0.01K","2.07%"
"09/16/2022","295,459,008","295,895,008","330,395,008","292,500,000","0.02K","-0.15%"
"09/15/2022","295,895,008","303,504,000","304,182,016","293,856,000","0.03K","-2.51%"
"09/14/2022","303,504,000","304,395,008","308,960,000","300,000,000","0.03K","-0.29%"
"09/13/2022","304,395,008","331,769,984","335,808,000","301,760,992","0.07K","-8.25%"
"09/12/2022","331,769,984","321,865,984","332,904,000","319,646,016","0.07K","3.08%"
"09/11/2022","321,865,984","319,414,016","322,644,000","316,841,984","0.03K","0.77%"
"09/10/2022","319,414,016","315,280,000","320,977,984","300,000,000","0.07K","1.31%"
"09/09/2022","315,279,008","288,052,992","316,625,984","288,000,000","0.08K","9.45%"
"09/08/2022","288,052,992","287,944,000","289,276,000","285,000,000","0.05K","0.04%"
"09/07/2022","287,944,000","283,151,008","290,000,000","279,998,016","0.05K","1.62%"
"09/06/2022","283,348,992","295,799,008","300,350,016","281,220,992","0.06K","-4.21%"
"09/05/2022","295,799,008","298,540,000","298,872,992","295,000,000","0.02K","-0.92%"
"09/04/2022","298,540,000","296,903,008","298,540,992","295,009,984","0.02K","0.55%"
"09/03/2022","296,903,008","298,886,016","300,000,000","296,000,000","0.02K","-0.66%"
"09/02/2022","298,886,016","300,510,016","304,112,992","296,929,984","0.03K","-0.54%"
"09/01/2022","300,510,016","299,360,000","302,496,992","294,230,016","0.04K","0.38%"
"08/31/2022","299,360,000","296,268,992","304,500,000","296,049,984","0.04K","1.09%"
"08/30/2022","296,123,008","303,096,992","305,000,000","293,648,992","0.04K","-2.30%"
