Date ,BTC_Price
11/28/2017,9906.00
11/29/2017,9837.90
11/30/2017,9946.80
12/1/2017,10861.50
12/2/2017,10912.70
12/3/2017,11246.20
12/4/2017,11623.90
12/5/2017,11667.10
12/6/2017,13749.60
12/7/2017,16850.30
12/8/2017,16047.60
12/9/2017,14843.40
12/10/2017,15059.60
12/11/2017,16732.50
12/12/2017,17083.90
12/13/2017,16286.80
12/14/2017,16467.90
12/15/2017,17604.80
12/16/2017,19345.50
12/17/2017,19065.70
12/18/2017,18972.30
12/19/2017,17523.70
12/20/2017,16462.00
12/21/2017,15632.10
12/22/2017,13665.00
12/23/2017,14396.50
12/24/2017,13790.00
12/25/2017,13833.50
12/26/2017,15756.60
12/27/2017,15416.60
12/28/2017,14398.70
12/29/2017,14392.60
12/30/2017,12531.50
12/31/2017,13850.40
1/1/2018,13444.90
1/2/2018,14754.10
1/3/2018,15156.60
1/4/2018,15180.10
1/5/2018,16954.80
1/6/2018,17172.30
1/7/2018,16228.20
1/8/2018,14976.20
1/9/2018,14778.50
1/10/2018,15043.00
1/11/2018,13535.40
1/12/2018,13886.70
1/13/2018,14292.20
1/14/2018,13695.20
1/15/2018,13697.50
1/16/2018,11362.00
1/17/2018,11192.30
1/18/2018,11245.40
1/19/2018,11580.20
1/20/2018,12858.90
1/21/2018,11594.90
1/22/2018,10864.80
1/23/2018,10903.20
1/24/2018,11452.30
1/25/2018,11203.00
1/26/2018,11118.10
1/27/2018,11467.50
1/28/2018,11795.10
1/29/2018,11244.80
1/30/2018,10166.00
1/31/2018,10265.40
2/1/2018,9181.10
2/2/2018,8893.20
2/3/2018,9241.10
2/4/2018,8222.20
2/5/2018,6938.50
2/6/2018,7701.20
2/7/2018,7594.70
2/8/2018,8164.20
2/9/2018,8699.80
2/10/2018,8559.60
2/11/2018,8081.90
2/12/2018,8903.50
2/13/2018,8539.20
2/14/2018,9476.30
2/15/2018,10037.30
2/16/2018,10178.70
2/17/2018,11073.50
2/18/2018,10398.80
2/19/2018,11169.40
2/20/2018,11238.70
2/21/2018,10473.00
2/22/2018,9841.70
2/23/2018,10170.40
2/24/2018,9704.30
2/25/2018,9585.20
2/26/2018,10285.10
2/27/2018,10594.40
2/28/2018,10333.90
3/1/2018,10904.50
3/2/2018,10827.70
3/3/2018,11402.30
3/4/2018,11416.50
3/5/2018,11330.60
3/6/2018,10675.10
3/7/2018,9902.90
3/8/2018,9300.00
3/9/2018,9217.00
3/10/2018,8762.00
3/11/2018,9529.60
3/12/2018,9137.40
3/13/2018,9154.90
3/14/2018,8210.60
3/15/2018,8264.40
3/16/2018,8289.20
3/17/2018,7874.90
3/18/2018,8201.20
3/19/2018,8616.80
3/20/2018,8912.60
3/21/2018,8905.90
3/22/2018,8726.20
3/23/2018,8916.80
3/24/2018,8547.40
3/25/2018,8473.20
3/26/2018,8143.50
3/27/2018,7801.70
3/28/2018,7954.90
3/29/2018,7129.20
3/30/2018,6853.70
3/31/2018,6938.20
4/1/2018,6825.20
4/2/2018,7068.40
4/3/2018,7424.20
4/4/2018,6808.90
4/5/2018,6782.00
4/6/2018,6624.30
4/7/2018,6905.70
4/8/2018,7030.50
4/9/2018,6781.90
4/10/2018,6854.80
4/11/2018,6962.10
4/12/2018,7926.60
4/13/2018,7887.40
4/14/2018,8004.40
4/15/2018,8363.60
4/16/2018,8070.00
4/17/2018,7908.60
4/18/2018,8178.40
4/19/2018,8290.80
4/20/2018,8867.00
4/21/2018,8923.10
4/22/2018,8806.70
4/23/2018,8952.80
4/24/2018,9645.30
4/25/2018,8873.10
4/26/2018,9287.00
4/27/2018,8940.90
4/28/2018,9352.40
4/29/2018,9415.10
4/30/2018,9245.10
5/1/2018,9074.90
5/2/2018,9243.20
5/3/2018,9749.70
5/4/2018,9708.60
5/5/2018,9853.50
5/6/2018,9656.40
5/7/2018,9431.60
5/8/2018,9196.40
5/9/2018,9319.10
5/10/2018,9025.70
5/11/2018,8408.30
5/12/2018,8459.50
5/13/2018,8693.50
5/14/2018,8674.10
5/15/2018,8477.00
5/16/2018,8344.40
5/17/2018,8063.00
5/18/2018,8245.70
5/19/2018,8245.10
5/20/2018,8529.00
5/21/2018,8403.30
5/22/2018,8006.00
5/23/2018,7512.30
5/24/2018,7592.90
5/25/2018,7477.70
5/26/2018,7361.30
5/27/2018,7366.70
5/28/2018,7119.30
5/29/2018,7467.70
5/30/2018,7400.10
5/31/2018,7502.60
6/1/2018,7530.80
6/2/2018,7646.60
6/3/2018,7729.30
6/4/2018,7504.30
6/5/2018,7631.50
6/6/2018,7661.00
6/7/2018,7697.80
6/8/2018,7622.10
6/9/2018,7515.80
6/10/2018,6775.10
6/11/2018,6885.90
6/12/2018,6558.20
6/13/2018,6312.30
6/14/2018,6647.10
6/15/2018,6410.30
6/16/2018,6505.80
6/17/2018,6460.30
6/18/2018,6719.80
6/19/2018,6752.40
6/20/2018,6765.40
6/21/2018,6728.00
6/22/2018,6055.70
6/23/2018,6167.30
6/24/2018,6154.60
6/25/2018,6256.60
6/26/2018,6082.10
6/27/2018,6154.90
6/28/2018,5883.50
6/29/2018,6213.30
6/30/2018,6398.90
7/1/2018,6366.80
7/2/2018,6619.50
7/3/2018,6513.50
7/4/2018,6598.40
7/5/2018,6546.50
7/6/2018,6617.70
7/7/2018,6765.50
7/8/2018,6714.80
7/9/2018,6667.10
7/10/2018,6307.20
7/11/2018,6389.10
7/12/2018,6250.60
7/13/2018,6230.20
7/14/2018,6254.80
7/15/2018,6362.90
7/16/2018,6729.90
7/17/2018,7322.00
7/18/2018,7383.60
7/19/2018,7477.50
7/20/2018,7339.40
7/21/2018,7408.70
7/22/2018,7412.30
7/23/2018,7723.00
7/24/2018,8407.00
7/25/2018,8173.70
7/26/2018,7937.00
7/27/2018,8187.40
7/28/2018,8234.10
7/29/2018,8215.60
7/30/2018,8177.10
7/31/2018,7729.40
8/1/2018,7606.40
8/2/2018,7535.60
8/3/2018,7419.00
8/4/2018,7014.30
8/5/2018,7027.10
8/6/2018,6943.60
8/7/2018,6724.90
8/8/2018,6283.60
8/9/2018,6538.80
8/10/2018,6152.30
8/11/2018,6231.60
8/12/2018,6313.00
8/13/2018,6255.30
8/14/2018,6190.20
8/15/2018,6256.90
8/16/2018,6306.70
8/17/2018,6581.70
8/18/2018,6379.10
8/19/2018,6481.50
8/20/2018,6268.10
8/21/2018,6482.20
8/22/2018,6359.60
8/23/2018,6521.20
8/24/2018,6680.40
8/25/2018,6734.80
8/26/2018,6712.70
8/27/2018,6897.60
8/28/2018,7074.60
8/29/2018,7029.10
8/30/2018,6993.70
8/31/2018,7033.80
9/1/2018,7189.60
9/2/2018,7293.90
9/3/2018,7264.20
9/4/2018,7377.50
9/5/2018,6706.80
9/6/2018,6514.00
9/7/2018,6390.90
9/8/2018,6184.30
9/9/2018,6238.50
9/10/2018,6321.00
9/11/2018,6293.90
9/12/2018,6338.00
9/13/2018,6482.90
9/14/2018,6483.70
9/15/2018,6519.00
9/16/2018,6500.20
9/17/2018,6251.90
9/18/2018,6342.00
9/19/2018,6390.40
9/20/2018,6489.20
9/21/2018,6766.70
9/22/2018,6729.60
9/23/2018,6704.10
9/24/2018,6584.10
9/25/2018,6445.10
9/26/2018,6468.10
9/27/2018,6689.20
9/28/2018,6636.00
9/29/2018,6603.90
9/30/2018,6635.20
10/1/2018,6608.20
10/2/2018,6549.90
10/3/2018,6507.80
10/4/2018,6584.20
10/5/2018,6639.10
10/6/2018,6596.30
10/7/2018,6611.00
10/8/2018,6669.60
10/9/2018,6650.80
10/10/2018,6618.00
10/11/2018,6239.10
10/12/2018,6291.30
10/13/2018,6321.70
10/14/2018,6326.80
10/15/2018,6699.80
10/16/2018,6705.30
10/17/2018,6686.60
10/18/2018,6574.10
10/19/2018,6512.00
10/20/2018,6572.20
10/21/2018,6583.00
10/22/2018,6555.80
10/23/2018,6528.70
10/24/2018,6530.70
10/25/2018,6507.00
10/26/2018,6510.00
10/27/2018,6494.20
10/28/2018,6486.10
10/29/2018,6335.00
10/30/2018,6325.70
10/31/2018,6365.90
11/1/2018,6400.50
11/2/2018,6424.70
11/3/2018,6386.20
11/4/2018,6478.20
11/5/2018,6459.70
11/6/2018,6502.80
11/7/2018,6565.30
11/8/2018,6474.00
11/9/2018,6412.00
11/10/2018,6427.10
11/11/2018,6446.10
11/12/2018,6435.00
11/13/2018,6429.20
11/14/2018,5842.40
11/15/2018,5718.90
11/16/2018,5636.20
11/17/2018,5621.80
11/18/2018,5658.30
11/19/2018,4883.80
11/20/2018,4524.60
11/21/2018,4638.70
11/22/2018,4356.00
11/23/2018,4398.00
11/24/2018,3920.40
11/25/2018,4062.20
11/26/2018,3837.00
11/27/2018,3866.50
11/28/2018,4265.40
11/29/2018,4296.50
11/30/2018,4039.70
12/1/2018,4196.20
12/2/2018,4160.40
12/3/2018,3897.80
12/4/2018,3958.50
12/5/2018,3771.60
12/6/2018,3508.60
12/7/2018,3422.20
